form	lemma	POS
"
"	"
"	SPACE
Nous	nous	PRON
ne	ne	ADV
reviendrons	revenir	VERB
pas	pas	ADV
sur	sur	ADP
ce	ce	PRON
que	que	PRON
nous	nous	PRON
avons	avoir	AUX
expose	expose	VERB
dans	dans	ADP
un	un	DET
travail	travail	NOUN
antérieur	antérieur	ADJ
.	.	PUNCT
Rappelons	rappelon	NOUN
seulement	seulement	ADV
que	que	SCONJ
la	le	DET
vie	vie	NOUN
est	être	AUX
un	un	DET
certain	certain	ADJ
effort	effort	NOUN
pour	pour	ADP
obtenir	obtenir	VERB
certaines	certain	DET
choses	chose	NOUN
de	de	ADP
la	le	DET
matière	matière	NOUN
brute	brut	ADJ
,	,	PUNCT
et	et	CCONJ
qu'	que	SCONJ
instinct	instinct	NOUN
et	et	CCONJ
intelligence	intelligence	NOUN
,	,	PUNCT
pris	prendre	VERB
à	à	ADP
l'	le	DET
état	état	NOUN
achevé	achevé	ADJ
,	,	PUNCT
sont	être	AUX
deux	deux	NUM
moyens	moyen	NOUN
d'	de	ADP
utiliser	utiliser	VERB
à	à	ADP
cet	ce	DET
effet	effet	NOUN
un	un	DET
outil	outil	NOUN
dans	dans	ADP
le	le	DET
premier	premier	ADJ
cas	cas	NOUN
,	,	PUNCT
l'	le	DET
outil	outil	NOUN
fait	faire	VERB
partie	partie	NOUN
de	de	ADP
l'	le	DET
être	être	NOUN
vivant	vivant	ADJ
dans	dans	ADP
l'	le	DET
autre	autre	PRON
,	,	PUNCT
c'	ce	PRON
est	être	AUX
un	un	DET
instrument	instrument	NOUN
inorganique	inorganique	ADJ
,	,	PUNCT
qu'	qu'	PRON
il	il	PRON
a	avoir	AUX
fallu	falloir	VERB
inventer	inventer	VERB
,	,	PUNCT
fabriquer	fabriquer	VERB
,	,	PUNCT
apprendre	apprendre	VERB
à	à	ADP
manier	manier	NOUN
.	.	PUNCT
Posez	posez	ADV
l'	le	DET
utilisation	utilisation	NOUN
,	,	PUNCT
à	à	ADP
plus	plus	ADV
forte	fort	ADJ
raison	raison	NOUN
la	le	DET
fabrication	fabrication	NOUN
,	,	PUNCT
à	à	ADP
plus	plus	ADV
forte	fort	ADJ
raison	raison	NOUN
encore	encore	ADV
l'	le	DET
invention	invention	NOUN
,	,	PUNCT
vous	vous	PRON
retrouverez	retrouver	VERB
un	un	DET
à	à	ADP
un	un	DET
tous	tout	ADJ
les	le	DET
éléments	élément	NOUN
de	de	ADP
l'	le	DET
intelligence	intelligence	NOUN
,	,	PUNCT
car	car	CCONJ
sa	son	DET
destination	destination	NOUN
explique	explique	VERB
sa	son	DET
structure	structure	NOUN
.	.	PUNCT
Mais	mais	CCONJ
il	il	PRON
ne	ne	ADV
faut	falloir	VERB
pas	pas	ADV
oublier	oublier	VERB
qu'	que	SCONJ
il	il	PRON
reste	reste	VERB
une	un	DET
frange	frange	NOUN
d'	de	ADP
instinct	instinct	NOUN
autour	autour	ADV
de	de	ADP
l'	le	DET
intelligence	intelligence	NOUN
,	,	PUNCT
et	et	CCONJ
que	que	SCONJ
des	un	DET
lueurs	lueur	NOUN
d'	de	ADP
intelligence	intelligence	NOUN
subsistent	subsister	VERB
au	au	DET
fond	fond	NOUN
de	de	ADP
l'	le	DET
instinct	instinct	NOUN
.	.	PUNCT
On	on	PRON
peut	pouvoir	VERB
conjecturer	conjecturer	VERB
qu'	que	SCONJ
ils	il	PRON
commencèrent	commencer	VERB
par	par	ADP
être	être	AUX
impliqués	impliquer	VERB
l'	le	DET
un	un	PRON
dans	dans	ADP
l'	le	DET
autre	autre	PRON
,	,	PUNCT
et	et	CCONJ
que	que	SCONJ
,	,	PUNCT
si	si	SCONJ
l'	le	DET
on	on	PRON
remontait	remonter	VERB
assez	assez	ADV
haut	haut	ADJ
dans	dans	ADP
le	le	DET
passé	passé	NOUN
,	,	PUNCT
on	on	PRON
trouverait	trouver	VERB
des	un	DET
instincts	instinct	NOUN
plus	plus	ADV
rapprochés	rapprocher	VERB
de	de	ADP
l'	le	DET
intelligence	intelligence	NOUN
que	que	SCONJ
ceux	celui	PRON
de	de	ADP
nos	notre	DET
insectes	insecte	NOUN
,	,	PUNCT
une	un	DET
intelligence	intelligence	NOUN
plus	plus	ADV
voisine	voisin	ADJ
de	de	ADP
l'	le	DET
instinct	instinct	NOUN
que	que	SCONJ
celle	celui	PRON
de	de	ADP
nos	notre	DET
vertébrés	vertébré	NOUN
.	.	PUNCT
Les	le	DET
deux	deux	NUM
activités	activité	NOUN
,	,	PUNCT
qui	qui	PRON
se	se	PRON
compénétraient	compénétrer	VERB
;	;	PUNCT
d'	de	ADP
abord	abord	NOUN
,	,	PUNCT
ont	avoir	AUX
dû	devoir	VERB
se	se	PRON
dissocier	dissocier	VERB
pour	pour	ADP
grandir	grandir	PROPN
;	;	PUNCT
mais	mais	CCONJ
quelque	quelque	DET
chose	chose	NOUN
de	de	ADP
l'	le	DET
une	un	DET
est	être	AUX
demeuré	demeurer	VERB
adhérent	adhérent	ADV
à	à	ADP
l'	le	DET
autre	autre	PRON
.	.	PUNCT
On	on	PRON
en	en	PRON
dirait	dire	VERB
d'	de	ADP
ailleurs	ailleurs	ADV
autant	autant	ADV
de	de	ADP
toutes	tout	ADJ
les	le	DET
grandes	grand	ADJ
manifestations	manifestation	NOUN
de	de	ADP
la	le	DET
vie	vie	NOUN
.	.	PUNCT
Chacune	chacun	PRON
d'	de	ADP
elles	lui	PRON
présente	présente	VERB
le	le	DET
plus	plus	ADV
souvent	souvent	ADV
à	à	ADP
l'	le	DET
état	état	NOUN
rudimentaire	rudimentaire	ADJ
,	,	PUNCT
ou	ou	CCONJ
latent	latent	ADV
,	,	PUNCT
ou	ou	CCONJ
virtuel	virtuel	ADJ
,	,	PUNCT
les	le	DET
caractères	caractère	NOUN
essentiels	essentiel	ADJ
de	de	ADP
la	le	DET
plupart	plupart	NOUN
des	de	ADP
autres	autre	ADJ
manifestations	manifestation	NOUN
.	.	PUNCT
