word	F	1888_EDIC	1896_MM	1900_R	1907_EC	1919_ES	1922_DS	1932_2S	1934_PM
rend possible	2	0	0	0	0	1	0	0	1
rendaient possible	1	0	0	0	0	0	0	1	0
rendant possible	1	0	0	0	0	0	0	1	0
rendent la généralisation possible	1	0	0	0	1	0	0	0	0
rendre cette extension possible	1	0	0	0	0	0	0	0	1
rendre la mesure possible	1	1	0	0	0	0	0	0	0
rendue possible	1	0	0	0	0	0	0	1	0
rendu possible	1	0	0	0	1	0	0	0	0
