word	F	1888_EDIC	1896_MM	1900_R	1907_EC	1919_ES	1922_DS	1932_2S	1934_PM
devient possible	5	0	2	0	1	0	0	2	0
deviendrait possible	1	0	1	0	0	0	0	0	0
deviendra possible	1	0	0	0	0	0	0	1	0
deviendront possibles	1	0	0	0	0	0	0	1	0
devinrent possibles	1	0	0	0	0	0	0	1	0
