word	F	1888_EDIC	1896_MM	1900_R	1907_EC	1919_ES	1922_DS	1932_2S	1934_PM
arrêts virtuels	5	0	0	0	1	0	2	0	2
arrêts possibles	4	0	0	0	2	0	0	0	2
arrêt virtuel	3	0	0	0	2	0	0	1	0
arrêt réel ou virtuel	1	0	0	0	0	0	0	1	0
immobilités possibles	1	0	0	0	1	0	0	0	0
stations réelles ou virtuelles	1	0	0	0	0	0	0	0	1
stations virtuelles	1	0	0	0	1	0	0	0	0
