word	F	1888_EDIC	1896_MM	1900_R	1907_EC	1919_ES	1922_DS	1932_2S	1934_PM
est possible	50	5	5	2	14	1	3	11	9
été possible	9	0	1	0	0	2	0	4	2
était possible	8	2	0	0	1	1	0	2	2
sont possibles	6	0	0	0	1	2	0	1	2
fût possible	3	0	0	0	2	1	0	0	0
sera possible	3	0	0	0	0	0	0	1	2
serait possible	2	0	0	0	1	0	0	1	0
être possible	1	0	0	0	1	0	0	0	0
soit possible	1	0	0	0	0	0	0	0	1
