form	lemma	POS
"
"	"
"	SPACE
On	on	PRON
voit	voir	VERB
ce	ce	PRON
que	que	PRON
signifie	signifier	VERB
la	le	DET
contraction	contraction	NOUN
.	.	PUNCT
L'	le	DET
identification	identification	NOUN
du	de	DET
temps	temps	NOUN
avec	avec	ADP
la	le	DET
ligne	ligne	NOUN
de	de	ADP
lumière	lumière	NOUN
fait	faire	VERB
que	que	SCONJ
le	le	DET
mouvement	mouvement	NOUN
du	de	DET
système	système	NOUN
produit	produire	VERB
un	un	DET
double	double	ADJ
effet	effet	NOUN
dans	dans	ADP
le	le	DET
temps	temps	NOUN
:	:	PUNCT
dilatation	dilatation	NOUN
de	de	ADP
la	le	DET
seconde	second	ADJ
,	,	PUNCT
dislocation	dislocation	NOUN
de	de	ADP
la	le	DET
simultanéité	simultanéité	NOUN
.	.	PUNCT
Dans	dans	ADP
la	le	DET
différence	différence	NOUN
