form	lemma	POS
"
"	"
"	SPACE
Il	il	PRON
s'	se	PRON
en	en	PRON
faut	falloir	VERB
aussi	aussi	ADV
que	que	SCONJ
le	le	DET
schéma	schéma	NOUN
précède	précéder	VERB
toujours	toujours	ADV
l'	le	DET
image	image	NOUN
explicitement	explicitement	ADV
.	.	PUNCT
M.	monsieur	NOUN
Ribot	Ribot	PROPN
a	avoir	AUX
montré	montrer	VERB
qu'	que	SCONJ
il	il	PRON
fallait	falloir	VERB
distinguer	distinguer	VERB
deux	deux	NUM
formes	forme	NOUN
de	de	ADP
l'	le	DET
imagination	imagination	NOUN
créatrice	créateur	ADJ
,	,	PUNCT
l'	le	DET
une	un	DET
intuitive	intuitif	NOUN
,	,	PUNCT
l'	le	DET
autre	autre	ADJ
réfléchie	réfléchie	NOUN
.	.	PUNCT
""""	""""	PUNCT
La	le	DET
première	premier	ADJ
va	aller	VERB
de	de	ADP
l'	le	DET
unité	unité	NOUN
aux	à	ADP
détails	détail	NOUN
....	....	PUNCT
la	le	DET
seconde	second	ADJ
marche	marche	NOUN
des	de	ADP
détails	détail	NOUN
à	à	ADP
l'	le	DET
unité	unité	NOUN
vaguement	vaguement	NOUN
entrevue	entrevoir	VERB
.	.	PUNCT
Elle	lui	PRON
débute	débute	VERB
par	par	ADP
un	un	DET
fragment	fragment	NOUN
qui	qui	PRON
sert	servir	VERB
d'	de	ADP
amorce	amorce	NOUN
et	et	CCONJ
se	se	PRON
complète	complet	ADJ
peu	peu	ADV
à	à	ADP
peu	peu	ADV
...	...	PUNCT
Képler	Képler	PROPN
a	avoir	AUX
consacré	consacrer	VERB
une	un	DET
partie	partie	NOUN
de	de	ADP
sa	son	DET
vie	vie	NOUN
à	à	ADP
essayer	essayer	VERB
des	un	DET
hypothèses	hypothèse	NOUN
bizarres	bizarre	ADJ
jusqu'	jusque	ADP
au	au	DET
jour	jour	NOUN
où	où	PRON
,	,	PUNCT
ayant	avoir	AUX
découvert	découvrir	VERB
l'	le	DET
orbite	orbite	NOUN
elliptique	elliptique	ADJ
de	de	ADP
Mars	mars	NOUN
,	,	PUNCT
tout	tout	ADV
son	son	DET
travail	travail	NOUN
antérieur	antérieur	ADJ
prit	prit	NOUN
corps	corp	ADJ
et	et	CCONJ
s'	se	PRON
organisa	organiser	VERB
en	en	ADP
système	système	NOUN
.	.	PUNCT
""""	""""	PUNCT
En	en	ADP
d'	d'	DET
autres	autre	ADJ
termes	terme	NOUN
,	,	PUNCT
au	au	DET
lieu	lieu	NOUN
d'	de	ADP
un	un	DET
schéma	schéma	NOUN
unique	unique	ADJ
,	,	PUNCT
aux	à	ADP
formes	forme	NOUN
immobiles	immobile	ADJ
et	et	CCONJ
raides	raide	NOUN
,	,	PUNCT
dont	dont	PRON
on	on	PRON
se	se	PRON
donne	donne	VERB
tout	tout	ADV
de	de	ADP
suite	suite	NOUN
la	le	DET
conception	conception	NOUN
distincte	distinct	ADJ
,	,	PUNCT
il	il	PRON
peut	pouvoir	VERB
y	y	PRON
avoir	avoir	VERB
un	un	DET
schéma	schéma	NOUN
élastique	élastique	ADJ
ou	ou	CCONJ
mouvant	mouvant	ADJ
,	,	PUNCT
dont	dont	PRON
l'	le	DET
esprit	esprit	NOUN
se	se	PRON
refuse	refuse	VERB
à	à	ADP
arrêter	arrêter	VERB
les	le	DET
contours	contour	NOUN
,	,	PUNCT
parce	parce	SCONJ
qu'	que	SCONJ
il	il	PRON
attend	attendre	VERB
sa	son	DET
décision	décision	NOUN
des	de	ADP
images	image	NOUN
mêmes	même	ADJ
que	que	PRON
le	le	DET
schéma	schéma	NOUN
doit	devoir	VERB
attirer	attirer	VERB
pour	pour	ADP
se	se	PRON
donner	donner	VERB
un	un	DET
corps	corps	NOUN
.	.	PUNCT
Mais	mais	CCONJ
,	,	PUNCT
que	que	SCONJ
le	le	DET
schéma	schéma	NOUN
soit	être	AUX
fixe	fixe	VERB
ou	ou	CCONJ
mobile	mobile	ADJ
,	,	PUNCT
c'	ce	PRON
est	être	AUX
pendant	pendant	ADP
son	son	DET
développement	développement	NOUN
en	en	ADP
images	image	NOUN
que	que	PRON
surgit	surgir	VERB
le	le	DET
sentiment	sentiment	NOUN
d'	de	ADP
effort	effort	NOUN
intellectuel	intellectuel	PROPN
.	.	PUNCT
