form	lemma	POS
"
"	"
"	SPACE
Voici	voici	VERB
encore	encore	ADV
les	le	DET
objets	objet	NOUN
qui	qui	PRON
peuplent	peupler	VERB
le	le	DET
champ	champ	NOUN
de	de	ADP
ma	mon	DET
vision	vision	NOUN
;	;	PUNCT
voici	voici	VERB
mon	mon	DET
cerveau	cerveau	NOUN
au	au	DET
milieu	milieu	NOUN
d'	de	ADP
eux	lui	PRON
;	;	PUNCT
voici	voici	VERB
enfin	enfin	ADV
,	,	PUNCT
dans	dans	ADP
mes	mon	DET
centres	centre	NOUN
sensoriels	sensoriel	ADJ
,	,	PUNCT
des	un	DET
déplacements	déplacement	NOUN
de	de	ADP
molécules	molécule	NOUN
et	et	CCONJ
d'	de	ADP
atomes	atome	NOUN
occasionnés	occasionner	VERB
par	par	ADP
l'	le	DET
action	action	NOUN
des	de	ADP
objets	objet	NOUN
extérieurs	extérieur	NOUN
.	.	PUNCT
Du	de	DET
point	point	NOUN
de	de	ADP
vue	vue	NOUN
idéaliste	idéaliste	ADJ
,	,	PUNCT
je	je	PRON
n'	n'	ADV
avais	avoir	VERB
pas	pas	ADV
le	le	DET
droit	droit	NOUN
d'	de	ADP
attribuer	attribuer	VERB
à	à	ADP
ces	ce	DET
mouvements	mouvement	NOUN
internes	interne	ADJ
la	le	DET
mystérieuse	mystérieux	ADJ
puissance	puissance	NOUN
de	de	ADP
se	se	PRON
doubler	doubler	VERB
de	de	ADP
la	le	DET
représentation	représentation	NOUN
des	de	ADP
choses	chose	NOUN
extérieures	extérieur	ADJ
,	,	PUNCT
car	car	CCONJ
ils	il	PRON
tenaient	tenir	VERB
tout	tout	PRON
entiers	entier	NOUN
dans	dans	ADP
ce	ce	PRON
qui	qui	PRON
en	en	PRON
était	être	AUX
représenté	représenter	VERB
,	,	PUNCT
et	et	CCONJ
puisque	puisque	SCONJ
,	,	PUNCT
par	par	ADP
hypothèse	hypothèse	NOUN
,	,	PUNCT
on	on	PRON
se	se	PRON
les	le	PRON
représentait	représenter	VERB
comme	comme	ADP
des	un	DET
mouvements	mouvement	NOUN
de	de	ADP
certains	certain	DET
atomes	atome	NOUN
du	de	DET
cerveau	cerveau	NOUN
,	,	PUNCT
ils	il	PRON
étaient	être	AUX
mouvements	mouvement	NOUN
d'	de	ADP
atomes	atome	NOUN
du	de	DET
cerveau	cerveau	NOUN
et	et	CCONJ
rien	rien	PRON
autre	autre	ADJ
chose	chose	NOUN
.	.	PUNCT
Mais	mais	CCONJ
l'	le	DET
essence	essence	NOUN
du	de	DET
réalisme	réalisme	NOUN
est	être	AUX
de	de	ADP
supposer	supposer	VERB
derrière	derrière	ADP
nos	notre	DET
représentations	représentation	NOUN
une	un	DET
cause	cause	NOUN
qui	qui	PRON
diffère	différer	VERB
d'	de	ADP
elles	lui	PRON
.	.	PUNCT
Rien	rien	PRON
ne	ne	ADV
l'	l'	PRON
empêchera	empêcher	VERB
,	,	PUNCT
semble	sembler	VERB
-t	t	PART
-il	il	PRON
,	,	PUNCT
de	de	ADP
considérer	considérer	VERB
la	le	DET
représentation	représentation	NOUN
des	de	ADP
objets	objet	NOUN
extérieurs	extérieur	NOUN
comme	comme	ADP
impliquée	impliquer	VERB
dans	dans	ADP
les	le	DET
modifications	modification	NOUN
cérébrales	cérébral	ADJ
.	.	PUNCT
Pour	pour	ADP
certains	certain	DET
théoriciens	théoricien	NOUN
,	,	PUNCT
ces	ce	DET
états	état	NOUN
cérébraux	cérébral	ADJ
seront	être	AUX
véritablement	véritablement	ADV
créateurs	créateurs	VERB
de	de	ADP
la	le	DET
représentation	représentation	NOUN
,	,	PUNCT
qui	qui	PRON
n'	n'	ADV
en	en	PRON
est	être	VERB
que	que	SCONJ
l	l	NOUN
'	'	PUNCT
""""	""""	PUNCT
épiphénomène	épiphénomène	NOUN
""""	""""	PUNCT
.	.	PUNCT
D'	d'	DET
autres	autre	ADJ
supposeront	supposer	VERB
,	,	PUNCT
à	à	ADP
la	le	DET
manière	manière	NOUN
cartésienne	cartésien	ADJ
,	,	PUNCT
que	que	SCONJ
les	le	DET
mouvements	mouvement	NOUN
cérébraux	cérébral	ADJ
occasionnent	occasionner	VERB
simplement	simplement	ADV
l'	le	DET
apparition	apparition	NOUN
des	de	ADP
perceptions	perception	NOUN
conscientes	conscient	ADJ
,	,	PUNCT
ou	ou	CCONJ
encore	encore	ADV
que	que	SCONJ
ces	ce	DET
perceptions	perception	NOUN
et	et	CCONJ
ces	ce	DET
mouvements	mouvement	NOUN
ne	ne	ADV
sont	être	VERB
que	que	SCONJ
deux	deux	NUM
aspects	aspect	NOUN
d'	de	ADP
une	un	DET
réalité	réalité	NOUN
qui	qui	PRON
n'	n'	ADV
est	être	AUX
ni	ni	CCONJ
mouvement	mouvemer	VERB
ni	ni	CCONJ
perception	perception	NOUN
.	.	PUNCT
Tous	tout	ADJ
s'	se	PRON
accorderont	accorder	VERB
néanmoins	néanmoins	ADV
à	à	ADP
dire	dire	VERB
qu'	que	SCONJ
à	à	ADP
un	un	DET
état	état	NOUN
cérébral	cérébral	ADJ
déterminé	déterminé	PROPN
,	,	PUNCT
correspond	correspondre	VERB
un	un	DET
état	état	NOUN
de	de	ADP
conscience	conscience	NOUN
déterminé	déterminé	PROPN
,	,	PUNCT
et	et	CCONJ
que	que	SCONJ
les	le	DET
mouvements	mouvement	NOUN
intérieurs	intérieur	ADJ
de	de	ADP
la	le	DET
substance	substance	NOUN
cérébrale	cérébral	ADJ
,	,	PUNCT
considérés	considérer	VERB
à	à	ADP
part	part	NOUN
,	,	PUNCT
livreraient	livreraient	ADV
,	,	PUNCT
à	à	ADP
qui	qui	PRON
saurait	savoir	VERB
les	le	PRON
déchiffrer	déchiffrer	VERB
,	,	PUNCT
le	le	DET
détail	détail	NOUN
complet	complet	ADJ
de	de	ADP
ce	ce	PRON
qui	qui	PRON
se	se	PRON
passe	passer	VERB
dans	dans	ADP
la	le	DET
conscience	conscience	NOUN
correspondante	correspondant	ADJ
.	.	PUNCT
