form	lemma	POS
perceptible	perceptible	ADJ
,	,	PUNCT
chaque	chaque	DET
terme	terme	NOUN
correspondait	correspondre	VERB
.	.	PUNCT
Cet	ce	DET
examen	examen	NOUN
nous	nous	PRON
donna	donner	VERB
un	un	DET
résultat	résultat	NOUN
assez	assez	ADV
inattendu	inattendu	VERB
.	.	PUNCT
Non	non	ADV
seulement	seulement	ADV
les	le	DET
thèses	thèse	NOUN
d'	de	ADP
Einstein	Einstein	PROPN
ne	ne	ADV
paraissaient	paraître	VERB
plus	plus	ADV
contredire	contredire	NOUN
,	,	PUNCT
mais	mais	CCONJ
encore	encore	ADV
elles	lui	PRON
confirmaient	confirmer	VERB
,	,	PUNCT
elles	lui	PRON
accompagnaient	accompagner	VERB
d'	de	ADP
un	un	DET
commencement	commencement	NOUN
de	de	ADP
preuve	preuve	NOUN
la	le	DET
croyance	croyance	NOUN
naturelle	naturel	ADJ
des	de	ADP
hommes	homme	NOUN
à	à	ADP
un	un	DET
Temps	temps	NOUN
unique	unique	ADJ
et	et	CCONJ
universel	universel	PROPN
.	.	PUNCT
Elles	lui	PRON
devaient	devoir	VERB
simplement	simplement	ADV
à	à	ADP
un	un	DET
malentendu	malentendu	NOUN
leur	leur	DET
aspect	aspect	ADJ
paradoxal	paradoxal	ADJ
.	.	PUNCT
Une	un	DET
confusion	confusion	NOUN
semblait	sembler	VERB
s'	se	PRON
être	être	AUX
produite	produire	VERB
,	,	PUNCT
non	non	ADV
pas	pas	ADV
certes	certes	ADV
chez	chez	ADP
Einstein	Einstein	PROPN
lui-même	lui-même	PRON
,	,	PUNCT
non	non	ADV
pas	pas	ADV
chez	chez	ADP
les	le	DET
physiciens	physicien	NOUN
qui	qui	PRON
usaient	usaient	ADV
physiquement	physiquement	ADV
de	de	ADP
sa	son	DET
méthode	méthode	NOUN
,	,	PUNCT
mais	mais	CCONJ
chez	chez	ADP
certains	certains	PRON
qui	qui	PRON
érigeaient	ériger	VERB
cette	ce	DET
physique	physique	NOUN
,	,	PUNCT
telle	tel	ADJ
quelle	quell	ADJ
,	,	PUNCT
en	en	ADP
philosophie	philosophie	NOUN
.	.	PUNCT
Deux	Deux	NUM
conceptions	conception	NOUN
différentes	différent	ADJ
de	de	ADP
la	le	DET
relativité	relativité	NOUN
,	,	PUNCT
l'	le	DET
une	un	DET
abstraite	abstraite	NOUN
et	et	CCONJ
l'	le	DET
autre	autre	ADJ
imagée	imagée	NOUN
,	,	PUNCT
l'	le	DET
une	un	DET
incomplète	incomplète	NOUN
et	et	CCONJ
l'	le	DET
autre	autre	ADJ
achevée	achever	VERB
,	,	PUNCT
coexistaient	coexistaient	ADV
dans	dans	ADP
leur	leur	DET
esprit	esprit	NOUN
et	et	CCONJ
interféraient	interféraient	ADV
ensemble	ensembl	ADJ
.	.	PUNCT
En	en	ADP
dissipant	dissiper	VERB
la	le	DET
confusion	confusion	NOUN
,	,	PUNCT
on	on	PRON
faisait	faire	VERB
tomber	tomber	VERB
le	le	DET
paradoxe	paradoxe	NOUN
.	.	PUNCT
Il	il	PRON
nous	nous	PRON
parut	parut	X
utile	utile	ADJ
de	de	ADP
le	le	DET
dire	dire	NOUN
.	.	PUNCT
Nous	nous	PRON
contribuerions	contribuer	VERB
