form	lemma	POS
purement	purement	NOUN
logique	logique	ADJ
,	,	PUNCT
est	être	AUX
incapable	incapable	ADJ
de	de	ADP
se	se	PRON
représenter	représenter	VERB
la	le	DET
vraie	vraie	NOUN
nature	nature	NOUN
de	de	ADP
la	le	DET
vie	vie	NOUN
,	,	PUNCT
la	le	DET
signification	signification	NOUN
profonde	profond	ADJ
du	de	DET
mouvement	mouvement	NOUN
évolutif	évolutif	ADJ
.	.	PUNCT
Créée	créer	VERB
par	par	ADP
la	le	DET
vie	vie	NOUN
,	,	PUNCT
dans	dans	ADP
des	un	DET
circonstances	circonstance	NOUN
déterminées	déterminer	VERB
,	,	PUNCT
pour	pour	ADP
agir	agir	VERB
sur	sur	ADP
des	un	DET
choses	chose	NOUN
déterminées	déterminer	VERB
,	,	PUNCT
comment	comment	ADV
embrasserait	embrasser	VERB
-elle	lui	PRON
la	le	DET
vie	vie	NOUN
,	,	PUNCT
dont	dont	PRON
elle	lui	PRON
n'	n'	ADV
est	être	VERB
qu'	qu'	ADV
une	un	DET
émanation	émanation	NOUN
ou	ou	CCONJ
un	un	DET
aspect	aspect	NOUN
?	?	PUNCT
Déposée	déposer	VERB
,	,	PUNCT
en	en	ADP
cours	cours	NOUN
de	de	ADP
route	route	NOUN
,	,	PUNCT
par	par	ADP
le	le	DET
mouvement	mouvement	NOUN
évolutif	évolutif	ADJ
,	,	PUNCT
comment	comment	ADV
s'	se	PRON
appliquerait	appliquer	VERB
-elle	lui	PRON
le	le	DET
long	long	NOUN
du	de	DET
mouvement	mouvement	NOUN
évolutif	évolutif	ADJ
lui-même	lui-même	PRON
?	?	PUNCT
Autant	autant	ADV
vaudrait	valoir	VERB
prétendre	prétendre	VERB
que	que	SCONJ
la	le	DET
partie	partie	NOUN
égale	égal	ADJ
le	le	DET
tout	tout	ADV
,	,	PUNCT
que	que	SCONJ
l'	le	DET
effet	effet	NOUN
peut	pouvoir	VERB
résorber	résorber	VERB
en	en	ADP
lui	lui	PRON
sa	son	DET
cause	cause	NOUN
,	,	PUNCT
ou	ou	CCONJ
que	que	SCONJ
le	le	DET
galet	galet	NOUN
laissé	laisser	VERB
sur	sur	ADP
la	le	DET
plage	plage	NOUN
dessine	dessin	ADJ
la	le	DET
forme	forme	NOUN
de	de	ADP
la	le	DET
vague	vague	NOUN
qui	qui	PRON
l'	l'	PRON
apporta	apporta	NOUN
.	.	PUNCT
De	de	ADP
fait	fait	NOUN
,	,	PUNCT
nous	nous	PRON
sentons	sentir	VERB
bien	bien	ADV
qu'	que	SCONJ
aucune	aucun	DET
des	de	ADP
catégories	catégorie	NOUN
de	de	ADP
notre	notre	DET
pensée	pensée	NOUN
,	,	PUNCT
unité	unité	NOUN
,	,	PUNCT
multiplicité	multiplicité	NOUN
,	,	PUNCT
causalité	causalité	NOUN
mécanique	mécanique	ADJ
,	,	PUNCT
finalité	finalité	NOUN
intelligente	intelligent	ADJ
,	,	PUNCT
etc.	etc.	ADV
,	,	PUNCT
ne	ne	ADV
s'	se	PRON
applique	applique	VERB
exactement	exactemer	VERB
aux	à	ADP
choses	chose	NOUN
de	de	ADP
la	le	DET
vie	vie	NOUN
:	:	PUNCT
qui	qui	PRON
dira	dire	VERB
où	où	PRON
commence	commence	NOUN
et	et	CCONJ
on	on	PRON
finit	finir	VERB
l'	le	DET
individualité	individualité	NOUN
,	,	PUNCT
si	si	SCONJ
l'	l'	PRON
être	être	NOUN
vivant	vivant	ADJ
est	être	AUX
un	un	DET
ou	ou	CCONJ
plusieurs	plusieurs	DET
,	,	PUNCT
si	si	SCONJ
ce	ce	PRON
sont	être	AUX
les	le	DET
cellules	cellule	NOUN
qui	qui	PRON
s'	se	PRON
associent	associer	VERB
en	en	ADP
organisme	organisme	NOUN
ou	ou	CCONJ
si	si	SCONJ
c'	ce	PRON
est	être	AUX
l'	le	DET
organisme	organisme	NOUN
qui	qui	PRON
se	se	PRON
dissocie	dissocier	VERB
en	en	ADP
cellules	cellule	NOUN
?	?	PUNCT
En	en	ADP
vain	vain	ADJ
nous	nous	PRON
poussons	pousser	VERB
le	le	DET
vivant	vivant	NOUN
dans	dans	ADP
tel	tel	ADJ
ou	ou	CCONJ
tel	tel	ADJ
de	de	ADP
nos	notre	DET
cadres	cadre	NOUN
.	.	PUNCT
Tous	tout	ADJ
les	le	DET
cadres	cadre	NOUN
craquent	craquent	ADV
.	.	PUNCT
Ils	il	PRON
sont	être	AUX
trop	trop	ADV
étroits	étroit	ADJ
,	,	PUNCT
trop	trop	ADV
rigides	rigide	NOUN
surtout	surtout	ADV
pour	pour	ADP
ce	ce	PRON
que	que	PRON
nous	nous	PRON
voudrions	vouloir	VERB
y	y	PRON
mettre	mettre	VERB
.	.	PUNCT
Notre	notre	DET
raisonnement	raisonnement	NOUN
,	,	PUNCT
si	si	SCONJ
sûr	sûr	ADJ
de	de	ADP
lui	lui	PRON
quand	quand	SCONJ
il	il	PRON
circule	circule	VERB
à	à	ADP
travers	travers	NOUN
les	le	DET
choses	chose	NOUN
inertes	inerte	ADJ
,	,	PUNCT
se	se	PRON
sent	sentir	VERB
d'	de	ADP
ailleurs	ailleurs	ADV
mal	mal	ADV
à	à	ADP
son	son	DET
aise	aise	NOUN
sur	sur	ADP
ce	ce	DET
nouveau	nouveau	ADJ
terrain	terrain	NOUN
.	.	PUNCT
On	on	PRON
serait	être	AUX
fort	fort	ADV
embarrassé	embarrasser	VERB
pour	pour	ADP
citer	citer	VERB
une	un	DET
découverte	découverte	NOUN
biologique	biologique	ADJ
due	devoir	ADJ
au	au	DET
raisonnement	raisonnement	NOUN
pur	pur	ADJ
.	.	PUNCT
Et	et	CCONJ
,	,	PUNCT
le	le	DET
plus	plus	ADV
souvent	souvent	ADV
,	,	PUNCT
quand	quand	SCONJ
l'	le	DET
expérience	expérience	NOUN
a	avoir	AUX
fini	finir	VERB
par	par	ADP
nous	nous	PRON
montrer	montrer	VERB
comment	comment	ADV
la	le	DET
vie	vie	NOUN
s'	se	PRON
y	y	PRON
prend	prendre	VERB
pour	pour	ADP
obtenir	obtenir	VERB
un	un	DET
certain	certain	ADJ
résultat	résultat	NOUN
,	,	PUNCT
nous	nous	PRON
trouvons	trouver	VERB
que	que	ADV
sa	son	DET
manière	manière	NOUN
d'	de	ADP
opérer	opérer	VERB
est	être	AUX
précisément	précisément	ADV
celle	celle	VERB
à	à	ADP
laquelle	lequel	PRON
nous	nous	PRON
n'	n'	ADV
aurions	avoir	VERB
jamais	jamais	ADV
pensé	penser	VERB
.	.	PUNCT
"
"	"
"	SPACE
Pourtant	pourtant	ADV
,	,	PUNCT
la	le	DET
philosophie	philosophie	NOUN
évolutionniste	évolutionniste	ADJ
étend	étendre	VERB
sans	sans	ADP
hésitation	hésitation	NOUN
aux	à	ADP
choses	chose	NOUN
de	de	ADP
la	le	DET
vie	vie	NOUN
les	le	DET
procédés	procédé	NOUN
d'	de	ADP
explication	explication	NOUN
qui	qui	PRON
ont	avoir	AUX
réussi	réussi	ADP
pour	pour	ADP
la	le	DET
matière	matière	NOUN
brute	brut	ADJ
.	.	PUNCT
Elle	lui	PRON
avait	avoir	AUX
commencé	commencer	VERB
par	par	ADP
nous	nous	PRON
montrer	montrer	VERB
dans	dans	ADP
l'	le	DET
intelligence	intelligence	NOUN
un	un	DET
effet	effet	NOUN
local	local	ADJ
de	de	ADP
l'	le	DET
évolution	évolution	NOUN
,	,	PUNCT
une	un	DET
lueur	lueur	NOUN
,	,	PUNCT
peut-être	peut-être	ADV
accidentelle	accidentel	ADJ
,	,	PUNCT
qui	qui	PRON
éclaire	éclaire	VERB
le	le	DET
va-et-vient	va-et-vient	NOUN
des	de	ADP
êtres	être	NOUN
vivants	vivant	ADJ
dans	dans	ADP
l'	le	DET
étroit	étroit	NOUN
passage	passage	NOUN
ouvert	ouvert	ADJ
à	à	ADP
leur	leur	DET
action	action	NOUN
:	:	PUNCT
et	et	CCONJ
voici	voici	VERB
que	que	SCONJ
tout	tout	ADV
à	à	ADP
coup	coup	NOUN
,	,	PUNCT
oubliant	oublier	VERB
ce	ce	PRON
qu'	qu'	PRON
elle	lui	PRON
vient	venir	VERB
de	de	ADP
nous	nous	PRON
dire	dire	VERB
,	,	PUNCT
elle	lui	PRON
fait	faire	VERB
de	de	ADP
cette	ce	DET
lanterne	lantern	ADJ
manœuvrée	manœuvrer	VERB
au	au	DET
fond	fond	NOUN
d'	de	ADP
un	un	DET
souterrain	souterrain	NOUN
un	un	DET
Soleil	soleil	NOUN
qui	qui	PRON
illuminerait	illuminer	VERB
le	le	DET
monde	monde	NOUN
.	.	PUNCT
Hardiment	hardiment	NOUN
,	,	PUNCT
elle	lui	PRON
procède	procéder	VERB
avec	avec	ADP
les	le	DET
seules	seul	ADJ
forces	force	NOUN
de	de	ADP
la	le	DET
pensée	penser	ADJ
conceptuelle	conceptuelle	NOUN
à	à	ADP
la	le	DET
reconstruction	reconstruction	NOUN
idéale	idéal	ADJ
de	de	ADP
toutes	tout	ADJ
choses	chose	NOUN
,	,	PUNCT
même	même	ADV
de	de	ADP
la	le	DET
vie	vie	NOUN
.	.	PUNCT
Il	il	PRON
est	être	VERB
vrai	vrai	ADJ
qu'	que	SCONJ
elle	lui	PRON
se	se	PRON
heurte	heurte	VERB
en	en	ADP
route	route	NOUN
à	à	ADP
de	de	ADP
si	si	SCONJ
formidables	formidable	ADJ
difficultés	difficulté	NOUN
,	,	PUNCT
elle	lui	PRON
voit	voir	VERB
sa	son	DET
logique	logique	ADJ
aboutir	aboutir	VERB
ici	ici	ADV
à	à	ADP
de	de	ADP
si	si	SCONJ
étranges	étrange	NOUN
contradictions	contradiction	NOUN
,	,	PUNCT
que	que	SCONJ
bien	bien	ADV
vite	vite	ADV
elle	lui	PRON
renonce	renonce	NOUN
à	à	ADP
son	son	DET
ambition	ambition	NOUN
première	premier	ADJ
.	.	PUNCT
Ce	ce	PRON
n'	n'	ADV
est	être	VERB
plus	plus	ADV
la	le	DET
réalité	réalité	NOUN
même	même	ADV
,	,	PUNCT
dit	dire	VERB
-elle	lui	PRON
,	,	PUNCT
qu'	que	SCONJ
elle	lui	PRON
recomposera	recomposer	VERB
,	,	PUNCT
mais	mais	CCONJ
seulement	seulement	ADV
une	un	DET
imitation	imitation	NOUN
du	de	DET
réel	réel	NOUN
,	,	PUNCT
ou	ou	CCONJ
plutôt	plutôt	ADV
une	un	DET
image	image	NOUN
symbolique	symbolique	ADJ
;	;	PUNCT
l'	le	DET
essence	essence	NOUN
des	de	ADP
choses	chose	NOUN
nous	nous	PRON
,	,	PUNCT
échappe	échapp	ADJ
et	et	CCONJ
nous	nous	PRON
échappera	échapper	VERB
toujours	toujours	ADV
,	,	PUNCT
nous	nous	PRON
nous	nous	PRON
mouvons	mouvoir	VERB
parmi	parmi	ADP
des	un	DET
relations	relation	NOUN
,	,	PUNCT
l'	le	DET
absolu	absolu	NOUN
n'	n'	ADV
est	être	AUX
pas	pas	ADV
de	de	ADP
notre	notre	DET
ressort	ressort	NOUN
,	,	PUNCT
arrêtons	arrêton	NOUN
-nous	nous	PRON
devant	devant	ADP
l'	le	DET
Inconnaissable	Inconnaissable	PROPN
.	.	PUNCT
Mais	mais	CCONJ
c'	ce	PRON
est	être	AUX
vraiment	vraiment	ADV
,	,	PUNCT
après	après	ADP
beaucoup	beaucoup	ADV
d'	de	ADP
orgueil	orgueil	NOUN
pour	pour	ADP
l'	le	DET
intelligence	intelligence	NOUN
humaine	humain	ADJ
,	,	PUNCT
un	un	DET
excès	excès	NOUN
d'	de	ADP
humilité	humilité	NOUN
.	.	PUNCT
Si	si	SCONJ
la	le	DET
forme	forme	NOUN
intellectuelle	intellectuel	ADJ
de	de	ADP
l'	le	DET
être	être	NOUN
vivant	vivant	ADJ
s'	se	PRON
est	être	AUX
modelée	modeler	VERB
peu	peu	ADV
à	à	ADP
peu	peu	ADV
sur	sur	ADP
les	le	DET
actions	action	NOUN
et	et	CCONJ
réactions	réaction	NOUN
réciproques	réciproque	ADJ
de	de	ADP
certains	certain	DET
corps	corps	NOUN
et	et	CCONJ
de	de	ADP
leur	leur	DET
entourage	entourage	NOUN
matériel	matériel	ADJ
,	,	PUNCT
comment	comment	ADV
ne	ne	ADV
nous	nous	PRON
livrerait	livrer	VERB
-elle	lui	PRON
pas	pas	ADV
quelque	quelque	DET
chose	chose	NOUN
de	de	ADP
l'	le	DET
essence	essence	NOUN
même	même	ADV
dont	dont	PRON
les	le	DET
corps	corps	NOUN
sont	être	AUX
faits	faire	VERB
?	?	PUNCT
L'	le	DET
action	action	NOUN
ne	ne	ADV
saurait	savoir	VERB
se	se	PRON
mouvoir	mouvoir	VERB
dans	dans	ADP
l'	le	DET
irréel	irréel	NOUN
.	.	PUNCT
D'	de	ADP
un	un	DET
esprit	esprit	NOUN
né	naître	VERB
