form	lemma	POS
"
"	"
"	SPACE
On	on	PRON
l'	l'	PRON
aurait	avoir	AUX
fait	faire	AUX
passer	passer	VERB
du	de	DET
visible	visible	NOUN
dans	dans	ADP
l'	le	DET
invisible	invisible	NOUN
.	.	PUNCT
Presque	presque	ADV
tout	tout	ADJ
ce	ce	PRON
que	que	PRON
le	le	DET
transformisme	transformisme	NOUN
nous	nous	PRON
dit	dire	VERB
aujourd'hui	aujourd'hui	ADV
se	se	PRON
conserverait	conserver	VERB
,	,	PUNCT
quitte	quitte	NOUN
à	à	ADP
s'	se	PRON
interpréter	interpréter	VERB
d'	de	ADP
une	un	DET
autre	autre	ADJ
manière	manière	NOUN
.	.	PUNCT
Ne	ne	ADV
vaut	valoir	VERB
-il	il	PRON
pas	pas	ADV
mieux	mieux	ADV
,	,	PUNCT
dès	dès	ADP
lors	lors	ADV
,	,	PUNCT
s'	se	PRON
en	en	PRON
tenir	tenir	VERB
à	à	ADP
la	le	DET
lettre	lettre	NOUN
du	de	DET
transformisme	transformisme	NOUN
,	,	PUNCT
tel	tel	ADJ
que	que	SCONJ
le	le	DET
professe	professe	VERB
la	le	DET
presque	presque	NOUN
unanimité	unanimité	ADJ
des	de	ADP
savants	savant	NOUN
?	?	PUNCT
Si	si	SCONJ
l'	le	DET
on	on	PRON
réserve	réserve	VERB
la	le	DET
question	question	NOUN
de	de	ADP
savoir	savoir	VERB
dans	dans	ADP
quelle	quel	DET
mesure	mesure	NOUN
cet	ce	DET
évolutionnisme	évolutionnisme	NOUN
décrit	décrire	VERB
les	le	DET
faits	fait	NOUN
et	et	CCONJ
dans	dans	ADP
quelle	quel	DET
mesure	mesure	NOUN
il	il	PRON
les	le	PRON
symbolise	symbolise	NOUN
,	,	PUNCT
il	il	PRON
n'	n'	ADV
a	avoir	VERB
rien	rien	PRON
d'	de	ADP
inconciliable	inconciliable	NOUN
avec	avec	ADP
les	le	DET
doctrines	doctrine	NOUN
qu'	qu'	PRON
il	il	PRON
a	avoir	AUX
prétendu	prétendre	ADJ
remplacer	remplacer	VERB
,	,	PUNCT
même	même	ADV
avec	avec	ADP
celle	celui	PRON
des	de	ADP
créations	création	NOUN
séparées	séparer	VERB
,	,	PUNCT
à	à	ADP
laquelle	lequel	PRON
on	on	PRON
l'	le	DET
oppose	oppose	NOUN
généralement	généralement	ADV
.	.	PUNCT
C'	ce	PRON
est	être	VERB
pourquoi	pourquoi	ADV
nous	nous	PRON
estimons	estimer	VERB
que	que	SCONJ
le	le	DET
langage	langage	NOUN
du	de	DET
transformisme	transformisme	NOUN
s'	se	PRON
impose	impose	VERB
maintenant	maintenant	ADV
à	à	ADP
toute	tout	DET
philosophie	philosophie	NOUN
,	,	PUNCT
comme	comme	ADP
l'	le	DET
affirmation	affirmation	NOUN
dogmatique	dogmatique	ADJ
du	de	DET
transformisme	transformisme	NOUN
s'	se	PRON
impose	impose	VERB
à	à	ADP
la	le	DET
science	science	NOUN
.	.	PUNCT
